"census_tract","pct_unemployed","pct_commute_public_transit","median_household_income","mean_household_income","pct_child_uninsured","pct_families_below_poverty_line"
42101026000,16.6,25.3,45821,56308,0,11.5
42101026100,16.6,21.5,41418,52456,5,21.8
42101026200,12.6,26.1,47204,55156,0,7.9
42101026301,13.3,26.8,41002,49186,0,17.4
42101026302,16.3,33.8,38750,50425,7,18.4
42101026400,17.6,23.2,41719,60690,0,9
42101026500,10.7,50.5,40709,47098,10,19.4
42101026600,19,27.8,43852,56099,5.8,14.2
42101026700,20.8,36,28202,37631,0,25.1
42101026800,6.6,39.7,34365,49442,0,15.5
42101026900,14.9,24.4,44886,62632,2.2,8.9
42101027000,11.1,19.3,58958,72783,2.2,10.5
42101027100,20.6,29.6,41114,50831,7.8,18.6
42101027200,16.4,25.1,43715,56212,17.5,9.3
42101027300,19.6,14.1,38606,49435,0,11.6
42101027401,16.1,21.9,35648,44234,9.3,17.3
42101027402,17.4,34.3,36179,41834,1.8,25.1
42101027500,16.2,33.4,43105,50357,10.4,18.2
42101027600,16.7,57.3,30506,40873,0,17.4
42101027700,29.1,40.8,24776,40707,15.3,30.1
42101027800,25.6,37.7,29063,44797,0,27.8
42101027901,11.9,48.1,35669,42215,1.5,22.6
42101027902,17,21.8,30774,40000,18.3,16.3
42101028000,19.6,29.2,25604,35625,0,24.9
42101028100,16.9,44.2,35083,47758,2.3,19.3
42101028200,16.2,39.8,29412,37860,2,27.5
42101028300,23.5,40.3,23645,39349,0,38.9
42101028400,34.8,29.1,27188,46465,5.2,34.6
42101028500,30.2,26.2,27202,40340,8.4,38
42101028600,14.7,38.3,27917,36898,12.6,27.6
42101028700,16.2,21.2,26292,35736,5.5,38
42101028800,15.4,30.2,28170,42220,2.7,29.5
42101028901,13.7,15.8,29236,37806,15.1,33.2
42101028902,14.9,28.2,27746,37901,8.3,37.9
42101029000,12.1,26.6,36157,44054,0,29.8
42101029100,21,13.3,25168,36339,16.2,38.8
42101029200,14.5,12.7,47097,62641,7.8,18.2
42101029300,17.2,21.9,28147,32643,0,42.2
42101029400,20.3,33.4,18950,24190,4.4,50.2
42101029800,15.7,26.3,28407,37981,2.4,28.8
42101029900,23.5,39.5,18206,28443,12.2,46.5
42101030000,29.1,37.2,27574,37142,0,35.5
42101030100,17.2,33.7,31366,40052,11,25.8
42101030200,20.3,30.3,41728,54143,5,23.8
42101030501,17,25.9,30921,43068,23.7,34.1
42101030502,15.1,15.7,38963,47744,8.9,26.4
42101030600,9.7,17.8,41584,56317,1.9,11
42101030700,11,26.6,39440,46776,4.7,18.5
42101030800,12.6,14.9,50690,56391,4.6,10.9
42101030900,11.5,12.1,42716,51671,3.7,23.2
42101031000,10.1,13.9,43160,55907,17.8,15.1
42101031101,17.1,14.8,33014,43381,5.5,22.2
42101031102,13.1,23.8,37926,46505,1.6,20
42101031200,11.7,8.7,38371,47496,3.6,24.9
42101031300,11.5,15.8,34902,44711,3.7,26.7
42101031401,13.6,18.6,36961,47015,5.3,19.6
42101031402,9.3,17.4,32311,43366,11.2,23.8
42101031501,12.2,15.9,47531,62801,1.7,13.8
42101031502,10.5,11.9,40664,49035,4.6,22.2
